QuestionText,QuestionLink,Asker,Edits,QuestionsAsked,Answers,Facebook,Sex,Location,Banned,Followers,Following,,
How do I come out of this situation and move on?,https://www.quora.com/How-do-I-come-out-of-this-situation-and-move-on,Anonymous,0,0,0,0,0,0,0,0,0,,
Why are some girls into cyber sex?,https://www.quora.com/Why-are-some-girls-into-cyber-sex,https://www.quora.com/profile/Ben-Quest-1,8,1,0, , ,  Philippines, ,0,0, , 
What can I do if I have major trouble sleeping around my period?,https://www.quora.com/What-can-I-do-if-I-have-major-trouble-sleeping-around-my-period,Anonymous,0,0,0,0,0,0,0,0,0,,
How do Indian girls differ from Iranian girls in relationships?,https://www.quora.com/How-do-Indian-girls-differ-from-Iranian-girls-in-relationships,Anonymous,0,0,0,0,0,0,0,0,0,,
Women: What do you think about foot fetishes?,https://www.quora.com/Women-What-do-you-think-about-foot-fetishes,https://www.quora.com/profile/Jordan-Christinsen,1273,128,30, , ,"  Stockholm, Sweden", ,8,0, , 
Where should a man's hand be while hugging a woman when she is a?,https://www.quora.com/Where-should-a-mans-hand-be-while-hugging-a-woman-when-she-is-a,Anonymous,0,0,0,0,0,0,0,0,0,,
"To all the women out there, what do when they stain their pants with period blood? Do you have to scrub it yourself or do you just throw it in the washing machine?",https://www.quora.com/To-all-the-women-out-there-what-do-when-they-stain-their-pants-with-period-blood-Do-you-have-to-scrub-it-yourself-or-do-you-just-throw-it-in-the-washing-machine,Anonymous,0,0,0,0,0,0,0,0,0,,
Why are most gynaecologists women?,https://www.quora.com/Why-are-most-gynaecologists-women,Anonymous,0,0,0,0,0,0,0,0,0,,
Why do so many girls have lesbian tendecies?,https://www.quora.com/Why-do-so-many-girls-have-lesbian-tendecies,Anonymous,0,0,0,0,0,0,0,0,0,,
Are women into BDSM?,https://www.quora.com/Are-women-into-BDSM,Anonymous,0,0,0,0,0,0,0,0,0,,
What does it mean when a man tells a women that she was trying to trap him by having his child?,https://www.quora.com/What-does-it-mean-when-a-man-tells-a-women-that-she-was-trying-to-trap-him-by-having-his-child,Anonymous,0,0,0,0,0,0,0,0,0,,
Question That Contains Assumptions: Why do some Christian women hate sex after marriage?,https://www.quora.com/Question-That-Contains-Assumptions-1/Why-do-some-Christian-women-hate-sex-after-marriage,Anonymous,0,0,0,0,0,0,0,0,0,,
The College and University Experience: How do I deal with the idea that my boyfriend is leaving to college?,https://www.quora.com/The-College-and-University-Experience/How-do-I-deal-with-the-idea-that-my-boyfriend-is-leaving-to-college,https://www.quora.com/profile/Ana-Ramirez-35,23,1,0, , , , ,0,0, , 
Who enjoys sex the most: men or women? And why?,https://www.quora.com/Who-enjoys-sex-the-most-men-or-women-And-why,Anonymous,0,0,0,0,0,0,0,0,0,,
What are the benefits from marrying a Thai bride?,https://www.quora.com/What-are-the-benefits-from-marrying-a-Thai-bride,https://www.quora.com/profile/Daniel-Mark-Taplin,6,1,0,http://www.facebook.com/10153526101155803, ,  San Francisco Bay Area, ,1,0, , 
Ladies when a man inserts his thumb in your butt while having intercourse how does this make you feel?,https://www.quora.com/Ladies-when-a-man-inserts-his-thumb-in-your-butt-while-having-intercourse-how-does-this-make-you-feel,Anonymous,0,0,0,0,0,0,0,0,0,,
Why is there a stereotype that men lust for sex more than women?,https://www.quora.com/Why-is-there-a-stereotype-that-men-lust-for-sex-more-than-women,Anonymous,0,0,0,0,0,0,0,0,0,,
How are women prison in India like?,https://www.quora.com/How-are-women-prison-in-India-like,https://www.quora.com/profile/Asefa-Hafeez,2,2,0,http://www.facebook.com/100002514334055, ,  Students, ,2,3, , 
Is it true that men tend to be sadists and women tend to be masochists?,https://www.quora.com/Is-it-true-that-men-tend-to-be-sadists-and-women-tend-to-be-masochists,Anonymous,0,0,0,0,0,0,0,0,0,,
Is career planning important for a married woman?,https://www.quora.com/Is-career-planning-important-for-a-married-woman,https://www.quora.com/profile/Anoohya-Jalapari,1,1,0, , , , ,1,1, , 
Why dont women/girls tend to not like Chandler Bing?,https://www.quora.com/Why-dont-women-girls-tend-to-not-like-Chandler-Bing,Anonymous,0,0,0,0,0,0,0,0,0,,
Can girls find jobs in electrical engineering departments in India?,https://www.quora.com/Can-girls-find-jobs-in-electrical-engineering-departments-in-India,Anonymous,0,0,0,0,0,0,0,0,0,,
Is it normal for a girl to have a thick flap of skin in the middle of one's crotch?,https://www.quora.com/Is-it-normal-for-a-girl-to-have-a-thick-flap-of-skin-in-the-middle-of-ones-crotch,Anonymous,0,0,0,0,0,0,0,0,0,,
How do corporations provide child care support for working mothers?,https://www.quora.com/How-do-corporations-provide-child-care-support-for-working-mothers,Anonymous,0,0,0,0,0,0,0,0,0,,
What kinds of women's flats (shoes) have the effect of making the foot look smaller?,https://www.quora.com/What-kinds-of-womens-flats-shoes-have-the-effect-of-making-the-foot-look-smaller,https://www.quora.com/profile/White-Bill,13,5,5, , , , ,0,1, , 
"""What can be done to make Delhi the safest city in the WORLD for women?""",https://www.quora.com/What-can-be-done-to-make-Delhi-the-safest-city-in-the-WORLD-for-women,https://www.quora.com/profile/Kimi-Singh,204,2,21,http://www.facebook.com/100004088934165, ,  New Delhi, ,131,9, , 
What is it like to live in India? What are some adjustments you need to be prepared of as a woman.What is their culture like?,https://www.quora.com/What-is-it-like-to-live-in-India-What-are-some-adjustments-you-need-to-be-prepared-of-as-a-woman-What-is-their-culture-like,Anonymous,0,0,0,0,0,0,0,0,0,,
Do most (heterosexual) women like to be held down during sex?,https://www.quora.com/Do-most-heterosexual-women-like-to-be-held-down-during-sex,https://www.quora.com/profile/Simon-Beuller,131,4,19, , ,  New York City, ,0,0, , 
Do you think males are targeted more these days based on unproven words of women?,https://www.quora.com/Do-you-think-males-are-targeted-more-these-days-based-on-unproven-words-of-women,https://www.quora.com/profile/Bhupen-Bhattacharya,394,23,101, , , , ,4,6, , 
Should woman serve National Service in Singapore?,https://www.quora.com/Should-woman-serve-National-Service-in-Singapore,https://www.quora.com/profile/Chua-Bing-Quan,8,1,0,http://www.facebook.com/10200940928762894, ,  Singapore, ,1,2, , 
Are girls more likely to have b-day surprises?,https://www.quora.com/Are-girls-more-likely-to-have-b-day-surprises,https://www.quora.com/profile/Kurky-Doodle,5,1,3, , ,  Philippines, ,1,0, , 
Why is it so difficult to understand women?,https://www.quora.com/Why-is-it-so-difficult-to-understand-women,Anonymous,0,0,0,0,0,0,0,0,0,,
How does a female astronaut handle her menstrual cycle in space?,https://www.quora.com/How-does-a-female-astronaut-handle-her-menstrual-cycle-in-space,Anonymous,0,0,0,0,0,0,0,0,0,,
What challenges you in forming relationships with women?,https://www.quora.com/What-challenges-you-in-forming-relationships-with-women,https://www.quora.com/profile/David-Herz-4,28,1,23,http://www.facebook.com/10153599626793896, ,  Pace University School of Law, ,0,0, , 
What would the world be like without women? (assuming there was some way for men to carry on the race). Trying to find what men would miss or maybe enjoy.,https://www.quora.com/What-would-the-world-be-like-without-women-assuming-there-was-some-way-for-men-to-carry-on-the-race-Trying-to-find-what-men-would-miss-or-maybe-enjoy,Anonymous,0,0,0,0,0,0,0,0,0,,
I am kind of a mentally imbalanced girl? What should I do?,https://www.quora.com/I-am-kind-of-a-mentally-imbalanced-girl-What-should-I-do,Anonymous,0,0,0,0,0,0,0,0,0,,
Women: According to you what is the perfect (sexiest) % of baldness for a 40 years old man (0 to 100%)?,https://www.quora.com/Women-According-to-you-what-is-the-perfect-sexiest-of-baldness-for-a-40-years-old-man-0-to-100,Anonymous,0,0,0,0,0,0,0,0,0,,
"At what age will a woman's looks start to deteriorate, by conventional Western standards?",https://www.quora.com/At-what-age-will-a-womans-looks-start-to-deteriorate-by-conventional-Western-standards,Anonymous,0,0,0,0,0,0,0,0,0,,
"As a technophiliac guy, I don't have much interest in subjects outside of technology so, how can I meet someone?",https://www.quora.com/As-a-technophiliac-guy-I-dont-have-much-interest-in-subjects-outside-of-technology-so-how-can-I-meet-someone,Anonymous,0,0,0,0,0,0,0,0,0,,
What are the 3 women's singing voice Ranges?,https://www.quora.com/What-are-the-3-womens-singing-voice-Ranges,https://www.quora.com/profile/Maria-Moreno-25,2,1,0, , , , ,0,0, , 
How can you tell if a girl is on birth control?,https://www.quora.com/How-can-you-tell-if-a-girl-is-on-birth-control,https://www.quora.com/profile/Neil-Curry,11,10,0, , , , ,0,0, , 
Why are most fibromyalgia sufferers female?,https://www.quora.com/Why-are-most-fibromyalgia-sufferers-female,Anonymous,0,0,0,0,0,0,0,0,0,,
Is a very high level woman in her 60s out of the career market?,https://www.quora.com/Is-a-very-high-level-woman-in-her-60s-out-of-the-career-market,Anonymous,0,0,0,0,0,0,0,0,0,,
Why are Americans so anti-abortion?,https://www.quora.com/Why-are-Americans-so-anti-abortion,Anonymous,0,0,0,0,0,0,0,0,0,,
Is it normal to have breast pain (not severe) for someone with medium sized breasts due to the usage of underwired lightly padded bra?,https://www.quora.com/Is-it-normal-to-have-breast-pain-not-severe-for-someone-with-medium-sized-breasts-due-to-the-usage-of-underwired-lightly-padded-bra,Anonymous,0,0,0,0,0,0,0,0,0,,
Why do some men want to kiss women so badly?,https://www.quora.com/Women/Why-do-some-men-want-to-kiss-women-so-badly,Anonymous,0,0,0,0,0,0,0,0,0,,
"You are on a train, in front of you sits a wonderful woman who is studying . You like her.  How would you approach her?",https://www.quora.com/You-are-on-a-train-in-front-of-you-sits-a-wonderful-woman-who-is-studying-You-like-her-How-would-you-approach-her,Anonymous,0,0,0,0,0,0,0,0,0,,
Do women love the taste of semen?,https://www.quora.com/Do-women-love-the-taste-of-semen,Anonymous,0,0,0,0,0,0,0,0,0,,
How is tasting sperms felt by women?,https://www.quora.com/How-is-tasting-sperms-felt-by-women,Anonymous,0,0,0,0,0,0,0,0,0,,
How does tasting sperms feel to a woman?,https://www.quora.com/How-does-tasting-sperms-feel-to-a-woman,Anonymous,0,0,0,0,0,0,0,0,0,,
Why do so few Taiwanese women want to marry?,https://www.quora.com/Why-do-so-few-Taiwanese-women-want-to-marry,Anonymous,0,0,0,0,0,0,0,0,0,,
Why is having a miscarriage a bad thing?,https://www.quora.com/Why-is-having-a-miscarriage-a-bad-thing,Anonymous,0,0,0,0,0,0,0,0,0,,
Are women superior hunters?,https://www.quora.com/Are-women-superior-hunters,https://www.quora.com/profile/Austin-Charpentier,319,25,54, , , , ,2,2, , 
Since most people with fibromyalgia are women then how do men get fibromyalgia?,https://www.quora.com/Since-most-people-with-fibromyalgia-are-women-then-how-do-men-get-fibromyalgia,Anonymous,0,0,0,0,0,0,0,0,0,,
Are female bosses better than male bosses?,https://www.quora.com/Are-female-bosses-better-than-male-bosses,https://www.quora.com/profile/Shriya-Khanna-3,1,1,0, , , , ,6,1, , 
Why do feminists claim that women have less rights than men in the U.S.?,https://www.quora.com/Why-do-feminists-claim-that-women-have-less-rights-than-men-in-the-U-S,Anonymous,0,0,0,0,0,0,0,0,0,,
Why she did not want to talk to me?,https://www.quora.com/Why-she-did-not-want-to-talk-to-me,https://www.quora.com/profile/Chung-Fung,281,48,22, , , , ,0,2, , 
"English (language): As a Chinese, I want to improve my English skills by reading English news paper, what kind of English newspaper should I read?",https://www.quora.com/English-language/As-a-Chinese-I-want-to-improve-my-English-skills-by-reading-English-news-paper-what-kind-of-English-newspaper-should-I-read,NEED TO SCROLL MORE,0,0,0,0,0,0,0,0,0,,
Do women love sex?,https://www.quora.com/Do-women-love-sex,Anonymous,0,0,0,0,0,0,0,0,0,,
Why do some women enjoy giving blowjobs?,https://www.quora.com/Why-do-some-women-enjoy-giving-blowjobs,NEED TO SCROLL MORE,0,0,0,0,0,0,0,0,0,,
"How do you feel if a recruiter asked ""When will you get married (If you are a girl)?""",https://www.quora.com/How-do-you-feel-if-a-recruiter-asked-When-will-you-get-married-If-you-are-a-girl,Anonymous,0,0,0,0,0,0,0,0,0,,
What is life? How a girl can make her life happy?,https://www.quora.com/What-is-life-How-a-girl-can-make-her-life-happy,https://www.quora.com/profile/Pavani-Meka,4,2,0,http://www.facebook.com/1468331013474587, ,  Palakollu, ,0,4, , 
How will you define women in one line?,https://www.quora.com/How-will-you-define-women-in-one-line,Anonymous,0,0,0,0,0,0,0,0,0,,
Why are women so conscious of their sexuality most of the time?,https://www.quora.com/Why-are-women-so-conscious-of-their-sexuality-most-of-the-time,https://www.quora.com/profile/Rocky-David-2,71,9,1,http://www.facebook.com/927335150657470, , , ,0,0, , 
Why does Kerala have high rate of crime against women despite having a high Human Development Index (HDI)?,https://www.quora.com/Why-does-Kerala-have-high-rate-of-crime-against-women-despite-having-a-high-Human-Development-Index-HDI,Anonymous,0,0,0,0,0,0,0,0,0,,
What do I need to know about women to keep the upper hand?,https://www.quora.com/What-do-I-need-to-know-about-women-to-keep-the-upper-hand,https://www.quora.com/profile/Deandre-Harrison,46,18,0, , , , ,1,7, , 
http://...How does the endometriosis bring infertility to women?,https://www.quora.com/http-How-does-the-endometriosis-bring-infertility-to-women,https://www.quora.com/profile/Xiaoping-Li-2,50,6,10,http://www.facebook.com/100003090453558, ,"  Wuhan, Hubei, China", ,2,5, , 
"Mountain Biking: How can an unhealthy woman in her early thirties (having numerous health issues like asthma, anemia,low stamina, overweight etc.) train for mountaineering? What steps to follow and how to train?",https://www.quora.com/Mountain-Biking/How-can-an-unhealthy-woman-in-her-early-thirties-having-numerous-health-issues-like-asthma-anemia-low-stamina-overweight-etc-train-for-mountaineering-What-steps-to-follow-and-how-to-train,Anonymous,0,0,0,0,0,0,0,0,0,,
Do women treat each other well?,https://www.quora.com/Do-women-treat-each-other-well,https://www.quora.com/profile/Lakshmi-Narayanan-Balaramane,66,1,18,http://www.facebook.com/10154078373082942, ,  AustraliaAustralianAustralian, ,7,4, , 
What are Safe driving practices for women?,https://www.quora.com/What-are-Safe-driving-practices-for-women,https://www.quora.com/profile/Ranganathan-SubbaRao,2,1,0,http://www.facebook.com/100000693544243, ,  Neyveli, ,3,4, , 
Is it permissible to be a female Muslim chemical engineer? I am currently an undergraduate student studying chemical engineering with a year in industry. The aim is to use this degree to benefit society.,https://www.quora.com/Is-it-permissible-to-be-a-female-Muslim-chemical-engineer-I-am-currently-an-undergraduate-student-studying-chemical-engineering-with-a-year-in-industry-The-aim-is-to-use-this-degree-to-benefit-society,Anonymous,0,0,0,0,0,0,0,0,0,,
What does the first month of pregnancy feel like?,https://www.quora.com/What-does-the-first-month-of-pregnancy-feel-like,Anonymous,0,0,0,0,0,0,0,0,0,,
Why does making a girl laugh feel so great?,https://www.quora.com/Why-does-making-a-girl-laugh-feel-so-great,https://www.quora.com/profile/Tyreke-Armstrong,131,21,5,http://www.facebook.com/965091986884940, ,  Jamaica, ,2,2, , 
Who are examples of women in Marketing today that are known for creating and executing a successful growth strategy for a web tech company?,https://www.quora.com/Who-are-examples-of-women-in-Marketing-today-that-are-known-for-creating-and-executing-a-successful-growth-strategy-for-a-web-tech-company,https://www.quora.com/profile/Mark-Evans-12,37,2,17,http://www.facebook.com/6418029, ,"  Ventura, CA", ,71,86, , 
Why do some women marry men a lot older?,https://www.quora.com/Why-do-some-women-marry-men-a-lot-older,Anonymous,0,0,0,0,0,0,0,0,0,,
